授权公告号,申请号,法律状态公告日,法律状态,法律状态信息
100358565,200510136465.0,2008.01.02,授权,授权
100358567,200410073188.9,2008.01.02,授权,授权
100358569,200510012955.X,2008.01.02,授权,授权
100358571,200410073423.2,2008.01.02,授权,授权
100358573,200510037406.8,2008.01.02,授权,授权
100358575,200510036273.2,2008.01.02,授权,授权
100358577,200510136409.7,2008.01.02,授权,授权
100358579,200310119915.6,2008.01.02,授权,授权
100358581,200510055552.3,2008.01.02,授权,授权
100358583,200510056788.9,2008.01.02,授权,授权
100358585,200380109324.9,2008.01.02,授权,授权
100358587,200510078120.4,2008.01.02,授权,授权
100358589,200480008680.6,2008.01.02,授权,授权
100358591,200410023755.X,2008.01.02,授权,授权
100358593,200380103819.0,2008.01.02,授权,授权
100358595,00800066.2,2008.01.02,授权,授权
100358597,200310121828.4,2008.01.02,授权,授权
100358599,200510050774.6,2008.01.02,授权,授权
100358601,200510035185.0,2008.01.02,授权,授权
100358603,200410067259.4,2008.01.02,授权,授权
100358605,200510045459.4,2008.01.02,授权,授权
100358607,200510062210.4,2008.01.02,授权,授权
100358609,200410155584.6,2008.01.02,授权,授权
100358611,200510022200.8,2008.01.02,授权,授权
100358613,200410084443.X,2008.01.02,授权,授权
100358615,200510023193.3,2008.01.02,授权,授权
100358617,200610013963.0,2008.01.02,授权,授权
100358619,200410073223.7,2008.01.02,授权,授权
100358621,200510052328.9,2008.01.02,授权,授权
100358623,200510088820.1,2008.01.02,授权,授权
100358625,200310119177.5,2008.01.02,授权,授权
100358627,200410041816.5,2008.01.02,授权,授权
100358629,02825015.X,2008.01.02,授权,授权
100358631,200510023603.4,2008.01.02,授权,授权
100358633,200510023608.7,2008.01.02,授权,授权
100358635,200510019361.1,2008.01.02,授权,授权
100358637,200610042368.X,2008.01.02,授权,授权
100358639,200510104896.9,2008.01.02,授权,授权
100358641,02150473.3,2008.01.02,授权,授权
100358643,200410094182.X,2008.01.02,授权,授权
100358645,200510037632.6,2008.01.02,授权,授权
100358647,200480007577.X,2008.01.02,授权,授权
100358649,200510134948.7,2008.01.02,授权,授权
100358651,200410155525.9,2008.01.02,授权,授权
100358653,200510019961.8,2008.01.02,授权,授权
100358655,200410075708.X,2008.01.02,授权,授权
100358657,200480009429.1,2008.01.02,授权,授权
100358659,02145054.4,2008.01.02,授权,授权
100358661,03158952.9,2008.01.02,授权,授权
100358663,200410020510.1,2008.01.02,授权,授权
100358665,200510043726.4,2008.01.02,授权,授权
100358667,200510010088.6,2008.01.02,授权,授权
100358669,02827788.0,2008.01.02,授权,授权
100358671,03158402.0,2008.01.02,授权,授权
100358673,200510037953.6,2008.01.02,授权,授权
100358675,200510047894.0,2008.01.02,授权,授权
100358677,200510096476.0,2008.01.02,授权,授权
100358679,03821722.8,2008.01.02,授权,授权
100358681,200410081943.8,2008.01.02,授权,授权
100358683,200410035727.X,2008.01.02,授权,授权
100358685,200610009739.4,2008.01.02,授权,授权
100358687,200510090357.4,2008.01.02,授权,授权
100358689,200480024284.2,2008.01.02,授权,授权
100358691,200480015904.6,2008.01.02,授权,授权
100358693,200610045393.3,2008.01.02,授权,授权
100358695,200310100633.1,2008.01.02,授权,授权
100358697,03813778.X,2008.01.02,授权,授权
100358699,200310105637.9,2008.01.02,授权,授权
100358701,200410053558.2,2008.01.02,授权,授权
100358703,200410028054.5,2008.01.02,授权,授权
100358705,200410067093.6,2008.01.02,授权,授权
100358707,200410067092.1,2008.01.02,授权,授权
100358709,200510061548.8,2008.01.02,授权,授权
100358711,200410062567.8,2008.01.02,授权,授权
100358713,200510094993.4,2008.01.02,授权,授权
100358715,03808559.3,2008.01.02,授权,授权
100358717,200510066666.8,2008.01.02,授权,授权
100358719,200410035393.6,2008.01.02,授权,授权
100358721,200380109028.9,2008.01.02,授权,授权
100358723,200510077802.3,2008.01.02,授权,授权
100358725,03802249.4,2008.01.02,授权,授权
100358727,200510075916.4,2008.01.02,授权,授权
100358729,03812396.7,2008.01.02,授权,授权
100358731,03825712.2,2008.01.02,授权,授权
100358733,02802441.9,2008.01.02,授权,授权
100358735,03802117.X,2008.01.02,授权,授权
100358737,200610050696.4,2008.01.02,授权,授权
100358739,03805026.9,2008.01.02,授权,授权
100358741,200380100556.8,2008.01.02,授权,授权
100358743,03800041.5,2008.01.02,授权,授权
100358745,200480001148.1,2008.01.02,授权,授权
100358747,200410095430.2,2008.01.02,授权,授权
100358749,200410033171.0,2008.01.02,授权,授权
100358751,02821850.7,2008.01.02,授权,授权
100358753,200410001695.1,2008.01.02,授权,授权
100358755,200380100953.5,2008.01.02,授权,授权
100358757,03145141.1,2008.01.02,授权,授权
100358759,03814919.2,2008.01.02,授权,授权
100358761,200510045433.X,2008.01.02,授权,授权
100358763,02808918.9,2008.01.02,授权,授权
100358765,200410101212.5,2008.01.02,授权,授权
100358767,200510058815.6,2008.01.02,授权,授权
100358769,200410074395.6,2008.01.02,授权,授权
100358771,200510041571.0,2008.01.02,授权,授权
100358773,200410062933.X,2008.01.02,授权,授权
100358775,200410064074.8,2008.01.02,授权,授权
100358777,200510043039.2,2008.01.02,授权,授权
100358779,03802485.3,2008.01.02,授权,授权
100358781,200380106989.4,2008.01.02,授权,授权
100358783,03812048.8,2008.01.02,授权,授权
100358785,200410048489.6,2008.01.02,授权,授权
100358787,01819034.0,2008.01.02,授权,授权
100358789,200510009533.7,2008.01.02,授权,授权
100358791,200310116457.0,2008.01.02,授权,授权
100358793,03819133.4,2008.01.02,授权,授权
100358795,200410066305.9,2008.01.02,授权,授权
100358797,200410017594.3,2008.01.02,授权,授权
100358799,200410035859.2,2008.01.02,授权,授权
100358801,200610010730.5,2008.01.02,授权,授权
100358803,200610014782.X,2008.01.02,授权,授权
100358805,03821522.5,2008.01.02,授权,授权
100358807,200510123061.8,2008.01.02,授权,授权
100358809,200510047671.4,2008.01.02,授权,授权
100358811,200480023147.7,2008.01.02,授权,授权
100358813,200610026707.5,2008.01.02,授权,授权
100358815,200610010036.3,2008.01.02,授权,授权
100358817,200510045234.9,2008.01.02,授权,授权
100358819,200410048525.9,2008.01.02,授权,授权
100358821,200510131002.5,2008.01.02,授权,授权
100358823,02829723.7,2008.01.02,授权,授权
100358825,200610018111.0,2008.01.02,授权,授权
100358827,200610124481.2,2008.01.02,授权,授权
100358829,200610081523.9,2008.01.02,授权,授权
100358831,03130730.2,2008.01.02,授权,授权
100358833,200510019865.3,2008.01.02,授权,授权
100358835,200410053427.4,2008.01.02,授权,授权
100358837,200510029280.X,2008.01.02,授权,授权
100358839,200410075856.1,2008.01.02,授权,授权
100358841,200610113616.5,2008.01.02,授权,授权
100358843,200510096003.0,2008.01.02,授权,授权
100358845,03137418.2,2008.01.02,授权,授权
100358847,03154897.0,2008.01.02,授权,授权
100358849,200410066625.4,2008.01.02,授权,授权
100358851,03822072.5,2008.01.02,授权,授权
100358853,200410057863.9,2008.01.02,授权,授权
100358855,200610023672.X,2008.01.02,授权,授权
100358857,02824395.1,2008.01.02,授权,授权
100358859,200510015836.X,2008.01.02,授权,授权
100358861,200410041334.X,2008.01.02,授权,授权
100358863,03813271.0,2008.01.02,授权,授权
100358865,200610052267.0,2008.01.02,授权,授权
100358867,200410017547.9,2008.01.02,授权,授权
100358869,99814842.3,2008.01.02,授权,授权
100358871,02824017.0,2008.01.02,授权,授权
100358873,200380110691.0,2008.01.02,授权,授权
100358875,200410095447.8,2008.01.02,授权,授权
100358877,200480003813.0,2008.01.02,授权,授权
100358879,02824312.9,2008.01.02,授权,授权
100358881,02824394.3,2008.01.02,授权,授权
100358883,200610042193.2,2008.01.02,授权,授权
100358885,200510023560.X,2008.01.02,授权,授权
100358887,200380101429.X,2008.01.02,授权,授权
100358889,98806051.5,2008.01.02,授权,授权
100358891,01817352.7,2008.01.02,授权,授权
100358893,01815027.6,2008.01.02,授权,授权
100358895,200610000178.1,2008.01.02,授权,授权
100358897,200480010136.5,2008.01.02,授权,授权
100358899,03821470.9,2008.01.02,授权,授权
100358901,200480007101.6,2008.01.02,授权,授权
100358903,200510110419.3,2008.01.02,授权,授权
100358905,200510106794.0,2008.01.02,授权,授权
100358907,200510094580.6,2008.01.02,授权,授权
100358909,200610024779.6,2008.01.02,授权,授权
100358911,200610042256.4,2008.01.02,授权,授权
100358913,01814858.1,2008.01.02,授权,授权
100358915,96199013.9,2008.01.02,授权,授权
100358917,200510095244.3,2008.01.02,授权,授权
100358919,02829568.4,2008.01.02,授权,授权
100358921,99806432.7,2008.01.02,授权,授权
100358923,200380102387.1,2008.01.02,授权,授权
100358925,200610035797.4,2008.01.02,授权,授权
100358927,200510096414.X,2008.01.02,授权,授权
100358929,200410086185.9,2008.01.02,授权,授权
100358931,200510030373.4,2008.01.02,授权,授权
100358933,200480023953.4,2008.01.02,授权,授权
100358935,00820021.1,2008.01.02,授权,授权
100358937,200480013446.2,2008.01.02,授权,授权
100358939,01818753.6,2008.01.02,授权,授权
100358941,200510087301.3,2008.01.02,授权,授权
100358943,200510077954.3,2008.01.02,授权,授权
100358945,200510073395.9,2008.01.02,授权,授权
100358947,200610010029.3,2008.01.02,授权,授权
100358949,200410061490.2,2008.01.02,授权,授权
100358951,200610038414.9,2008.01.02,授权,授权
100358953,200380106486.7,2008.01.02,授权,授权
100358955,200510061769.5,2008.01.02,授权,授权
100358957,200310107832.5,2008.01.02,授权,授权
100358959,200610018515.X,2008.01.02,授权,授权
100358961,200510052945.9,2008.01.02,授权,授权
100358963,200480003506.2,2008.01.02,授权,授权
100358965,200410011310.X,2008.01.02,授权,授权
100358967,200610020370.7,2008.01.02,授权,授权
100358969,200510046251.4,2008.01.02,授权,授权
100358971,99800935.0,2008.01.02,授权,授权
100358973,200510023963.4,2008.01.02,授权,授权
100358975,200510041591.8,2008.01.02,授权,授权
100358977,200310116248.6,2008.01.02,授权,授权
100358979,03817396.4,2008.01.02,授权,授权
100358981,200380108009.4,2008.01.02,授权,授权
100358983,200610032354.X,2008.01.02,授权,授权
100358985,200510047000.8,2008.01.02,授权,授权
100358987,200510047001.2,2008.01.02,授权,授权
100358989,00805880.6,2008.01.02,授权,授权
100358991,200510046308.0,2008.01.02,授权,授权
100358993,200510021345.6,2008.01.02,授权,授权
100358995,200510127332.7,2008.01.02,授权,授权
100358997,200610038332.4,2008.01.02,授权,授权
100358999,200510077781.5,2008.01.02,授权,授权
100359001,200380110268.0,2008.01.02,授权,授权
100359003,200480008435.5,2008.01.02,授权,授权
100359005,200310118489.4,2008.01.02,授权,授权
100359007,02808499.3,2008.01.02,授权,授权
100359009,03826955.4,2008.01.02,授权,授权
100359011,200410100432.6,2008.01.02,授权,授权
100359013,02827262.5,2008.01.02,授权,授权
100359015,03103031.9,2008.01.02,授权,授权
100359017,200410094099.2,2008.01.02,授权,授权
100359019,200310107754.9,2008.01.02,授权,授权
100359021,200510124580.6,2008.01.02,授权,授权
100359023,200610010611.X,2008.01.02,授权,授权
100359025,200510096335.9,2008.01.02,授权,授权
100359027,03119136.3,2008.01.02,授权,授权
100359029,200610068544.7,2008.01.02,授权,授权
100359031,03131773.1,2008.01.02,授权,授权
100359033,200510096852.6,2008.01.02,授权,授权
100359035,200510023888.1,2008.01.02,授权,授权
100359037,200410046228.0,2008.01.02,授权,授权
100359039,03134604.9,2008.01.02,授权,授权
100359041,200610048941.8,2008.01.02,授权,授权
100359043,200510004777.6,2008.01.02,授权,授权
100359045,200510096004.5,2008.01.02,授权,授权
100359047,200510023583.0,2008.01.02,授权,授权
100359049,200410073498.0,2008.01.02,授权,授权
100359051,200410091020.0,2008.01.02,授权,授权
100359053,03814113.2,2008.01.02,授权,授权
100359055,200610013220.3,2008.01.02,授权,授权
100359057,200610013251.9,2008.01.02,授权,授权
100359059,02141405.X,2008.01.02,授权,授权
100359061,03107035.3,2008.01.02,授权,授权
100359063,02812232.1,2008.01.02,授权,授权
100359065,01811143.2,2008.01.02,授权,授权
100359067,02809486.7,2008.01.02,授权,授权
100359069,03812072.0,2008.01.02,授权,授权
100359071,200510032950.3,2008.01.02,授权,授权
100359073,03811602.2,2008.01.02,授权,授权
100359075,02118122.5,2008.01.02,授权,授权
100359077,200410052966.6,2008.01.02,授权,授权
100359079,200310103089.6,2008.01.02,授权,授权
100359081,200610025403.7,2008.01.02,授权,授权
100359083,02124229.1,2008.01.02,授权,授权
100359085,02124214.3,2008.01.02,授权,授权
100359087,02121105.1,2008.01.02,授权,授权
100359089,03816892.8,2008.01.02,授权,授权
100359091,200410048949.5,2008.01.02,授权,授权
100359093,200510136782.2,2008.01.02,授权,授权
100359095,03817333.6,2008.01.02,授权,授权
100359097,03823978.7,2008.01.02,授权,授权
100359099,200510022371.0,2008.01.02,授权,授权
100359101,200510134966.5,2008.01.02,授权,授权
100359103,200410071516.1,2008.01.02,授权,授权
100359105,03801922.1,2008.01.02,授权,授权
100359107,200510061832.5,2008.01.02,授权,授权
100359109,200610042254.5,2008.01.02,授权,授权
100359111,200510032295.1,2008.01.02,授权,授权
100359113,02819420.9,2008.01.02,授权,授权
100359115,200410047446.6,2008.01.02,授权,授权
100359117,03806451.0,2008.01.02,授权,授权
100359119,200410083626.X,2008.01.02,授权,授权
100359121,200610039775.5,2008.01.02,授权,授权
100359123,01818432.4,2008.01.02,授权,授权
100359125,200510038378.1,2008.01.02,授权,授权
100359127,200510019419.2,2008.01.02,授权,授权
100359129,200380104381.8,2008.01.02,授权,授权
100359131,200410036251.1,2008.01.02,授权,授权
100359133,03111921.2,2008.01.02,授权,授权
100359135,03124145.X,2008.01.02,授权,授权
100359137,03138403.X,2008.01.02,授权,授权
100359139,03814990.7,2008.01.02,授权,授权
100359141,03802723.2,2008.01.02,授权,授权
100359143,200410069455.5,2008.01.02,授权,授权
100359145,200410092119.2,2008.01.02,授权,授权
100359147,03148289.9,2008.01.02,授权,授权
100359149,02158469.9,2008.01.02,授权,授权
100359151,200410069764.2,2008.01.02,授权,授权
100359153,200410015439.8,2008.01.02,授权,授权
100359155,200510092212.8,2008.01.02,授权,授权
100359157,200410074957.7,2008.01.02,授权,授权
100359159,200410059757.4,2008.01.02,授权,授权
100359161,02823191.0,2008.01.02,授权,授权
100359163,03823655.9,2008.01.02,授权,授权
100359165,200310108241.X,2008.01.02,授权,授权
100359167,02809914.1,2008.01.02,授权,授权
100359169,03129782.X,2008.01.02,授权,授权
100359171,03129788.9,2008.01.02,授权,授权
100359173,03119780.9,2008.01.02,授权,授权
100359175,03129805.2,2008.01.02,授权,授权
100359177,200410062938.2,2008.01.02,授权,授权
100359179,03129844.3,2008.01.02,授权,授权
100359181,02158660.8,2008.01.02,授权,授权
100359183,02158654.3,2008.01.02,授权,授权
100359185,200380103286.6,2008.01.02,授权,授权
100359187,200410081905.2,2008.01.02,授权,授权
100359189,200410010144.1,2008.01.02,授权,授权
100359191,03153106.7,2008.01.02,授权,授权
100359193,02814469.4,2008.01.02,授权,授权
100359195,200310101121.7,2008.01.02,授权,授权
100359197,02111803.5,2008.01.02,授权,授权
100359199,200410081536.7,2008.01.02,授权,授权
100359201,200510012626.5,2008.01.02,授权,授权
100359203,02822205.9,2008.01.02,授权,授权
100359205,200410076949.6,2008.01.02,授权,授权
100359207,200310106033.6,2008.01.02,授权,授权
100359209,200410048754.0,2008.01.02,授权,授权
100359211,200510057142.2,2008.01.02,授权,授权
100359213,200310109595.6,2008.01.02,授权,授权
100359215,02821813.2,2008.01.02,授权,授权
100359217,02814755.3,2008.01.02,授权,授权
100359219,200480022358.9,2008.01.02,授权,授权
100359221,200410047527.6,2008.01.02,授权,授权
100359223,200480000892.X,2008.01.02,授权,授权
100359225,200410065124.4,2008.01.02,授权,授权
100359227,02825664.6,2008.01.02,授权,授权
100359229,200310123372.5,2008.01.02,授权,授权
100359231,200410046673.7,2008.01.02,授权,授权
100359233,200410054308.0,2008.01.02,授权,授权
100359235,200480011914.2,2008.01.02,授权,授权
100359237,03123377.5,2008.01.02,授权,授权
100359239,03104836.6,2008.01.02,授权,授权
100359241,03104846.3,2008.01.02,授权,授权
100359243,03123342.2,2008.01.02,授权,授权
100359245,03123370.8,2008.01.02,授权,授权
100359247,03147495.0,2008.01.02,授权,授权
100359249,03130131.2,2008.01.02,授权,授权
100359251,200510043763.5,2008.01.02,授权,授权
100359253,200610040686.2,2008.01.02,授权,授权
100359255,03143854.7,2008.01.02,授权,授权
100359257,03129795.1,2008.01.02,授权,授权
100359259,200510055544.9,2008.01.02,授权,授权
100359261,03110186.0,2008.01.02,授权,授权
100359263,200310104775.5,2008.01.02,授权,授权
100359265,200480007956.9,2008.01.02,授权,授权
100359267,200310106774.4,2008.01.02,授权,授权
100359269,03144131.9,2008.01.02,授权,授权
100359271,200510067257.X,2008.01.02,授权,授权
100359273,200510053839.2,2008.01.02,授权,授权
100359275,03100207.2,2008.01.02,授权,授权
100359277,200410024180.3,2008.01.02,授权,授权
100359279,02823999.7,2008.01.02,授权,授权
100359281,03803284.8,2008.01.02,授权,授权
100359283,200510076923.6,2008.01.02,授权,授权
100359285,200510015205.8,2008.01.02,授权,授权
100359287,200410013439.4,2008.01.02,授权,授权
100359289,200510107234.7,2008.01.02,授权,授权
100359291,200410011087.9,2008.01.02,授权,授权
100359293,200610042694.0,2008.01.02,授权,授权
100359295,200610049716.6,2008.01.02,授权,授权
100359297,200310122517.X,2008.01.02,授权,授权
100359299,200310112060.4,2008.01.02,授权,授权
100359301,02141614.1,2008.01.02,授权,授权
100359303,200510117735.3,2008.01.02,授权,授权
100359305,200410090961.2,2008.01.02,授权,授权
100359307,200410034566.2,2008.01.02,授权,授权
100359309,98801911.6,2008.01.02,授权,授权
100359311,200410067891.9,2008.01.02,授权,授权
100359313,02138258.1,2008.01.02,授权,授权
100359315,200410004387.4,2008.01.02,授权,授权
100359317,200510047086.4,2008.01.02,授权,授权
100359319,200610009153.8,2008.01.02,授权,授权
100359321,200410093204.0,2008.01.02,授权,授权
100359323,200510025784.4,2008.01.02,授权,授权
100359325,200510134717.6,2008.01.02,授权,授权
100359327,200610092050.2,2008.01.02,授权,授权
100359329,03809477.0,2008.01.02,授权,授权
100359331,200410066252.0,2008.01.02,授权,授权
100359333,200410073133.8,2008.01.02,授权,授权
100359335,02104360.4,2008.01.02,授权,授权
100359337,200310108934.9,2008.01.02,授权,授权
100359339,200510029252.8,2008.01.02,授权,授权
100359341,200610041907.8,2008.01.02,授权,授权
100359343,01820040.0,2008.01.02,授权,授权
100359345,200610023420.7,2008.01.02,授权,授权
100359347,02826204.2,2008.01.02,授权,授权
100359349,200610023418.X,2008.01.02,授权,授权
100359351,03137030.6,2008.01.02,授权,授权
100359353,200410052450.1,2008.01.02,授权,授权
100359355,200610025730.2,2008.01.02,授权,授权
100359357,200410074966.6,2008.01.02,授权,授权
100359359,03152346.3,2008.01.02,授权,授权
100359361,03820384.7,2008.01.02,授权,授权
100359363,200410074672.3,2008.01.02,授权,授权
100359365,200310120704.4,2008.01.02,授权,授权
100359367,200410011517.7,2008.01.02,授权,授权
100359369,200410103537.7,2008.01.02,授权,授权
100359371,200410050027.8,2008.01.02,授权,授权
100359373,200310114199.2,2008.01.02,授权,授权
100359375,200510102548.8,2008.01.02,授权,授权
100359377,200410003173.5,2008.01.02,授权,授权
100359379,200410038171.X,2008.01.02,授权,授权
100359381,200410100338.0,2008.01.02,授权,授权
100359383,200510064315.3,2008.01.02,授权,授权
100359385,200510097894.1,2008.01.02,授权,授权
100359387,03164922.X,2008.01.02,授权,授权
100359389,200410086164.7,2008.01.02,授权,授权
100359391,03804429.3,2008.01.02,授权,授权
100359393,03104146.9,2008.01.02,授权,授权
100359395,200410062543.2,2008.01.02,授权,授权
100359397,200410056486.7,2008.01.02,授权,授权
100359399,200410095116.4,2008.01.02,授权,授权
100359401,03145101.2,2008.01.02,授权,授权
100359403,03149542.7,2008.01.02,授权,授权
100359405,200310102776.6,2008.01.02,授权,授权
100359407,03124918.3,2008.01.02,授权,授权
100359409,200510014380.5,2008.01.02,授权,授权
100359411,200410047422.0,2008.01.02,授权,授权
100359413,200410058175.4,2008.01.02,授权,授权
100359415,03138472.2,2008.01.02,授权,授权
100359417,01145314.1,2008.01.02,授权,授权
100359419,200410062286.2,2008.01.02,授权,授权
100359421,200410014876.8,2008.01.02,授权,授权
100359423,200410093527.X,2008.01.02,授权,授权
100359425,03806247.X,2008.01.02,授权,授权
100359427,200380104390.7,2008.01.02,授权,授权
100359429,200510003705.X,2008.01.02,授权,授权
100359431,200510033446.5,2008.01.02,授权,授权
100359433,200410071397.X,2008.01.02,授权,授权
100359435,200510106716.0,2008.01.02,授权,授权
100359437,200310114335.8,2008.01.02,授权,授权
100359439,200510090648.3,2008.01.02,授权,授权
100359441,00811438.2,2008.01.02,授权,授权
100359443,200410070330.4,2008.01.02,授权,授权
100359445,200510052306.2,2008.01.02,授权,授权
100359447,03158994.4,2008.01.02,授权,授权
100359449,200410062040.5,2008.01.02,授权,授权
100359451,200510063514.2,2008.01.02,授权,授权
100359453,02823886.9,2008.01.02,授权,授权
100359455,200510002992.2,2008.01.02,授权,授权
100359457,200410069612.2,2008.01.02,授权,授权
100359459,200480010115.3,2008.01.02,授权,授权
100359461,200610027490.X,2008.01.02,授权,授权
100359463,200510000015.9,2008.01.02,授权,授权
100359465,200510083662.0,2008.01.02,授权,授权
100359467,200410075312.5,2008.01.02,授权,授权
100359469,200410098912.3,2008.01.02,授权,授权
100359471,200410009287.0,2008.01.02,授权,授权
100359473,200510080339.8,2008.01.02,授权,授权
100359475,200510031746.X,2008.01.02,授权,授权
100359477,200410037139.X,2008.01.02,授权,授权
100359479,200480013513.0,2008.01.02,授权,授权
100359481,200510053423.0,2008.01.02,授权,授权
100359483,200410053423.6,2008.01.02,授权,授权
100359485,03806871.0,2008.01.02,授权,授权
100359487,200410009851.9,2008.01.02,授权,授权
100359489,200510036782.5,2008.01.02,授权,授权
100359491,02159371.X,2008.01.02,授权,授权
100359493,03817195.3,2008.01.02,授权,授权
100359495,03125058.0,2008.01.02,授权,授权
100359497,200510078287.0,2008.01.02,授权,授权
100359499,02812277.1,2008.01.02,授权,授权
100359501,200510009057.9,2008.01.02,授权,授权
100359503,200510021330.X,2008.01.02,授权,授权
100359505,03811923.4,2008.01.02,授权,授权
100359507,02827350.8,2008.01.02,授权,授权
100359509,01125556.0,2008.01.02,授权,授权
100359511,200510035475.5,2008.01.02,授权,授权
100359513,03810681.7,2008.01.02,授权,授权
100359515,02800381.0,2008.01.02,授权,授权
100359517,200410071218.2,2008.01.02,授权,授权
100359519,200510083235.2,2008.01.02,授权,授权
100359521,200410005038.4,2008.01.02,授权,授权
100359523,200510006868.3,2008.01.02,授权,授权
100359525,200410033478.0,2008.01.02,授权,授权
100359527,200410075733.8,2008.01.02,授权,授权
100359529,200480005870.2,2008.01.02,授权,授权
100359531,02814683.2,2008.01.02,授权,授权
100359533,03128918.5,2008.01.02,授权,授权
100359535,03812890.X,2008.01.02,授权,授权
100359537,200610024305.1,2008.01.02,授权,授权
100359539,200380103701.8,2008.01.02,授权,授权
100359541,200410102548.3,2008.01.02,授权,授权
100359543,200510065101.8,2008.01.02,授权,授权
100359545,200510071442.6,2008.01.02,授权,授权
100359547,200410003875.3,2008.01.02,授权,授权
100359549,200410048475.4,2008.01.02,授权,授权
100359551,200410095312.1,2008.01.02,授权,授权
100359553,02820365.8,2008.01.02,授权,授权
100359555,200310116323.9,2008.01.02,授权,授权
100359557,200410074718.1,2008.01.02,授权,授权
100359559,03155321.4,2008.01.02,授权,授权
100359561,02818290.1,2008.01.02,授权,授权
100359563,200510107647.5,2008.01.02,授权,授权
100359565,200510103843.5,2008.01.02,授权,授权
100359567,200510087864.2,2008.01.02,授权,授权
100359569,03806837.0,2008.01.02,授权,授权
100359571,03815549.4,2008.01.02,授权,授权
100359573,200410048556.4,2008.01.02,授权,授权
100359575,03800989.7,2008.01.02,授权,授权
100359577,200410063626.3,2008.01.02,授权,授权
100359579,200510109635.6,2008.01.02,授权,授权
100359581,200410061583.5,2008.01.02,授权,授权
